dimm_name,vdd,vendor,error_cacheline_percent
B7,1.2,B,0.0
B8,1.2,B,0.0
B9,1.2,B,0.0
B10,1.2,B,0.0
B11,1.2,B,0.0
B12,1.2,B,0.0
B1,1.2,B,0.0
B2,1.2,B,0.0
B3,1.25,B,0.0
B1,1.25,B,0.0
B2,1.25,B,0.0
B3,1.3,B,0.0
B1,1.3,B,0.0
B2,1.3,B,0.0
B3,1.35,B,0.0
B4,1.35,B,0.0
B5,1.35,B,0.0
B7,1.35,B,0.0
B8,1.35,B,0.0
B9,1.35,B,0.0
B10,1.35,B,0.0
B11,1.35,B,0.0
B12,1.35,B,0.0
B1,1.35,B,0.0
B2,1.35,B,0.0
C1,1.1,C,50.0252306461
C2,1.1,C,50.0
C3,1.1,C,50.0007629395
C4,1.1,C,49.6214002371
C5,1.1,C,50.0
C6,1.1,C,50.0
C9,1.1,C,50.0
C1,1.125,C,50.0
C2,1.125,C,49.2102921009
C3,1.125,C,45.509275794
C4,1.125,C,35.9450638294
C5,1.125,C,50.0070095062
C8,1.125,C,50.0
C1,1.15,C,49.6845394373
C2,1.15,C,41.138330102
C3,1.15,C,35.4672461748
C4,1.15,C,16.3074791431
C5,1.15,C,50.0
C8,1.15,C,49.8891234398
C9,1.15,C,50.0
C1,1.175,C,42.9434895515
C2,1.175,C,26.4041215181
C3,1.175,C,20.5743014812
C4,1.175,C,11.8543118238
C5,1.175,C,46.664300561
C6,1.175,C,49.8336791992
C8,1.175,C,41.6422396898
C9,1.175,C,50.0003814697
C1,1.2,C,29.1091352701
C2,1.2,C,15.8684074879
C3,1.2,C,12.5053405762
C4,1.2,C,4.50342297554
C5,1.2,C,32.683840394
C6,1.2,C,49.1589695215
C7,1.2,C,17.4591362476
C8,1.2,C,20.0037121773
C9,1.2,C,49.2010593414
C1,1.25,C,12.4352931976
C2,1.25,C,0.0
C3,1.25,C,0.00839233398438
C4,1.25,C,0.0
C5,1.25,C,0.0213623046875
C6,1.25,C,7.95214772224
C7,1.25,C,8.98290574551
C8,1.25,C,0.0
C9,1.25,C,24.8842686415
C1,1.3,C,0.0
C2,1.3,C,0.0
C3,1.3,C,0.0
C4,1.3,C,0.0
C5,1.3,C,0.0
C6,1.3,C,0.0
C7,1.3,C,0.0
C8,1.3,C,0.0
C9,1.3,C,0.0
C1,1.35,C,0.0
C2,1.35,C,0.0
C3,1.35,C,0.0
C4,1.35,C,0.0
C5,1.35,C,0.0
C6,1.35,C,0.0
C7,1.35,C,0.0
C8,1.35,C,0.0
C9,1.35,C,0.0
